Cliente;Número RO;Data Abertura RO;Ult Sts;Informação Solicitada ao Cliente;Dias Útimo Status;Motivo;Reclamado Ton;Reclamado M2;Comentários da Qualidade;Situação atual do RO;Qtd FP realizado;Último FP realizado;Comentários do Pós vendas;Link
ALUGLASS;00009-2026;06/01/2026;2;06/01/2026;1;CHAPAS TRINCADAS;2,329688;115,56;Aguardando informações do cliente;Aguardando Cliente;1;06/01/2026;-;Sistema RO
Clientes Export.;00014-2026;06/01/2026;2;07/01/2026;1;CHAPAS QUEBRADAS              ;1,650297;81,86;Aguardando amostras/ Jacqueline em contato com cliente;Aguardando Cliente;1;06/01/2026;-;Sistema RO
NEW BOX;00013-2026;06/01/2026;2;06/01/2026;1;DIFERENÇA DE TONALIDADE;0,064512;2,56;Aguardando amostras/ Jacqueline em contato com cliente;Aguardando Cliente;1;06/01/2026;-;Sistema RO
VIPEL;00015-2026;07/01/2026;2;07/01/2026;0;MANCHAS                       ;2,052892;81,464;Aguardando amostras;Aguardando Cliente;1;07/01/2026;-;Sistema RO
VIPEL;00016-2026;07/01/2026;2;07/01/2026;0;MANCHAS                       ;1,941408;77,04;Aguardando amostras;Aguardando Cliente;1;07/01/2026;-;Sistema RO
BANDEIRANTES;04672-2025;23/12/2025;2;23/12/2025;15;FALHA DE METALIZAÇÃO;0,538477;35,31;Aguardando amostras;Aguardando Cliente;1;23/12/2025;-;Sistema RO
BANDEIRANTES;04677-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,054698;7,704;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04678-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,074343;7,704;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04679-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,105011;7,062;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04680-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,569479;28,248;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04681-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,159667;7,92;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04682-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,284739;14,124;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
BANDEIRANTES;04683-2025;24/12/2025;2;29/12/2025;14;BOLHAS                        ;0,388281;15,408;Aguardando fotos com escala ou amostras;Aguardando Cliente;1;29/12/2025;-;Sistema RO
CRISTAL SETE;03585-2025;06/10/2025;2;07/10/2025;93;MANCHAS                       ;0,075933;4,58;Aguardando amostras;Aguardando Cliente;4;22/12/2025;-;Sistema RO
CRISTAL SETE;03990-2025;03/11/2025;2;04/11/2025;65;FALHA DE METALIZAÇÃO;0,075263;4,51;Aguardando amostras;Aguardando Cliente;4;22/12/2025;-;Sistema RO
CRISTAL SETE;04225-2025;19/11/2025;2;24/11/2025;49;FALHA DE METALIZAÇÃO;0,01591;1,07;Aguardando amostras;Aguardando Cliente;3;22/12/2025;-;Sistema RO
CRISTAL SETE;04228-2025;19/11/2025;2;24/11/2025;49;BOLHAS                        ;0,017844;1,2;Aguardando amostras;Aguardando Cliente;3;22/12/2025;-;Sistema RO
